Date,Open,High,Low,Close,Volume
07-09-21,76.80,78.29,76.50,78.19,1102692
07-08-21,74.90,75.88,74.51,75.79,651692
07-07-21,75.07,75.89,74.80,75.40,1067904
07-06-21,73.00,73.486,72.24,72.81,560215
07-02-21,72.04,72.15,71.50,72.06,339729
07-01-21,72.45,72.46,71.70,72.05,420279
06-30-21,72.16,72.50,72.10,72.46,422249
06-29-21,71.81,72.0499,71.52,71.95,350314
06-28-21,71.49,72.14,71.26,72.09,846070
06-25-21,71.10,71.40,70.9138,71.01,608860
06-24-21,70.00,70.15,69.31,70.07,695969
06-23-21,69.62,70.40,69.28,70.25,710502
06-22-21,68.28,68.73,67.93,68.64,323697
06-21-21,68.27,68.85,68.0811,68.74,330999
06-18-21,68.41,68.71,68.12,68.27,310301
06-17-21,67.63,68.23,67.112,67.93,395395
06-16-21,67.65,67.67,66.17,66.81,863751
06-15-21,70.09,70.11,69.1401,69.54,396097
06-14-21,70.37,70.37,69.65,70.11,558750
06-11-21,69.83,70.30,69.64,70.29,544889
06-10-21,69.31,69.59,68.81,69.03,686757
06-09-21,68.34,68.60,67.91,68.01,320059
06-08-21,68.43,68.50,67.5645,68.27,488389
06-07-21,68.70,68.93,68.0759,68.67,790898
06-04-21,68.06,69.18,67.90,69.12,690397
06-03-21,67.58,67.58,66.81,67.14,750654
06-02-21,68.07,68.20,67.78,68.20,607831
06-01-21,67.50,68.28,67.47,67.92,903969
05-28-21,65.87,66.7199,65.77,66.44,916694
05-27-21,64.11,64.99,64.01,64.75,605756
05-26-21,63.62,64.04,63.22,64.00,393154
05-25-21,63.92,64.3399,63.6297,63.92,413958
05-24-21,62.92,63.515,62.70,63.36,505816
05-21-21,62.57,62.7648,62.0739,62.28,281297
05-20-21,62.00,62.605,62.00,62.44,470362
05-19-21,60.80,61.80,60.80,61.64,454798
05-18-21,61.22,61.79,61.02,61.45,455201
05-17-21,60.83,61.265,60.25,60.66,536847
05-14-21,59.62,60.72,59.55,60.62,528356
05-13-21,58.62,59.4612,58.281,58.70,844234
05-12-21,59.61,60.305,58.51,58.74,828868
05-11-21,59.27,60.79,58.85,60.55,1365738
05-10-21,62.63,62.92,61.45,61.60,537659
05-07-21,61.97,62.20,61.275,62.18,453096
05-06-21,62.48,62.51,61.34,62.00,496396
05-05-21,62.50,63.30,62.39,63.02,435020
05-04-21,62.25,62.35,61.41,61.97,895148
05-03-21,63.55,63.57,62.7343,62.89,548075
04-30-21,62.92,63.90,62.902,63.59,439201
04-29-21,64.10,64.25,62.73,63.30,580075
04-28-21,63.28,63.72,63.00,63.49,460272
04-27-21,63.37,63.51,62.68,62.97,603239
04-26-21,63.44,63.80,62.90,63.69,793983
04-23-21,62.38,63.63,62.27,63.27,814099
04-22-21,62.57,62.75,61.6377,61.96,542166
04-21-21,61.42,62.34,60.99,62.26,600729
04-20-21,62.45,62.46,60.82,61.32,687952
04-19-21,62.21,63.05,61.91,62.67,922700
04-16-21,61.37,61.50,60.30,60.73,795501
04-15-21,62.00,62.25,61.09,61.27,519601
04-14-21,61.29,61.63,61.01,61.06,834217
04-13-21,58.80,59.92,58.80,59.85,752210
04-12-21,59.01,59.10,57.90,58.04,717536
04-09-21,59.18,59.30,58.6604,58.97,448942
04-08-21,59.58,59.72,58.92,59.28,721825
04-07-21,60.22,60.38,58.63,58.82,570456
04-06-21,60.40,60.40,59.64,60.06,593942
04-05-21,61.65,61.75,60.31,60.52,1269708
04-01-21,59.72,60.79,59.42,59.79,946782
03-31-21,58.38,58.67,58.00,58.46,681703
03-30-21,57.47,58.10,57.11,57.87,504325
03-29-21,57.71,57.86,56.94,57.11,517890
03-26-21,57.71,58.36,57.19,58.32,527884
03-25-21,55.00,56.62,54.8758,56.54,782570
03-24-21,56.76,56.89,55.07,55.15,1111721
03-23-21,58.10,58.105,56.35,56.61,810066
03-22-21,59.79,59.8477,58.8301,59.29,572101
03-19-21,59.77,59.856,58.79,59.52,682652
03-18-21,60.43,60.9024,59.40,59.47,782135
03-17-21,60.00,61.20,59.62,61.06,799862
03-16-21,60.97,61.00,59.5401,60.03,1097583
03-15-21,60.97,60.97,60.01,60.62,876879
03-12-21,60.99,61.05,60.18,60.91,814452
03-11-21,61.27,62.27,60.705,62.11,1441132
03-10-21,59.36,59.70,58.3457,58.67,1275422
03-09-21,57.00,58.50,56.48,58.23,1411325
03-08-21,57.09,57.41,55.35,55.56,1606579
03-05-21,59.25,59.4274,55.65,59.00,1840453
03-04-21,60.37,60.50,56.70,57.32,1950309
03-03-21,63.35,63.43,61.32,61.50,883988
03-02-21,63.60,64.07,63.31,63.45,1256711
03-01-21,63.47,63.74,62.74,63.58,1318010
02-26-21,60.68,61.28,59.1212,60.76,1440042
02-25-21,64.75,64.93,60.80,60.99,1914431
02-24-21,63.71,65.83,63.48,65.76,1085822
02-23-21,63.79,64.70,58.677,64.59,2881790
02-22-21,66.97,66.97,65.85,66.11,1451052
02-19-21,68.25,68.5926,67.718,68.31,1459608
02-18-21,69.74,69.75,67.65,68.26,2300737
02-17-21,74.31,74.50,72.51,73.11,1697334
02-16-21,73.38,74.83,73.065,74.31,2242746
02-12-21,71.18,71.79,70.77,71.69,758388
02-11-21,70.57,71.349,70.36,71.18,840733
02-10-21,71.58,71.6699,69.585,70.53,1544004
02-09-21,70.00,70.72,69.7829,70.72,1360745
02-08-21,68.48,69.33,68.3404,69.29,1458611
02-05-21,67.63,67.7466,67.1005,67.65,1254815
02-04-21,68.41,68.44,67.41,67.96,1174852
02-03-21,70.14,70.14,69.17,69.33,1113316
02-02-21,68.84,69.73,68.84,69.62,1648800
02-01-21,66.90,66.98,66.01,66.65,1487718
01-29-21,67.36,67.39,65.13,65.58,1894778
01-28-21,68.35,69.0586,67.83,68.71,1377248
01-27-21,70.43,70.43,69.1132,69.21,1305140
01-26-21,72.31,72.36,71.46,71.59,1108900
01-25-21,72.44,72.70,71.11,72.18,1484183
01-22-21,71.43,71.86,71.20,71.83,1143405
01-21-21,71.46,71.57,70.6601,71.45,1567587
01-20-21,71.01,71.1499,70.2543,70.58,1562352
01-19-21,69.14,69.34,68.5206,69.22,1674063
01-15-21,68.76,68.98,67.56,68.29,1352219
01-14-21,69.72,69.72,68.7202,69.01,1370365
01-13-21,70.70,70.70,69.51,69.93,1221636
01-12-21,70.90,71.34,70.00,71.30,1772987
01-11-21,69.35,69.51,68.25,69.23,1848605
01-08-21,72.92,72.95,70.00,70.87,2532433
01-07-21,72.40,72.83,71.395,72.52,2596629
01-06-21,70.21,71.31,68.34,69.57,3916883
01-05-21,67.00,72.50,66.98,71.34,5146045
01-04-21,66.14,66.7756,65.50,66.30,2207763
12-31-20,63.00,63.00,61.76,61.89,1086932
12-30-20,60.80,62.35,60.70,62.31,1613099
12-29-20,60.41,60.43,59.00,59.26,1537848
12-28-20,60.92,61.00,60.72,60.83,1292746
12-24-20,59.81,59.94,59.00,59.24,881123
12-23-20,59.89,59.9233,59.30,59.72,1010939
12-22-20,59.30,59.325,58.35,58.90,931626
12-21-20,57.71,59.22,57.71,59.16,1126158
12-18-20,57.24,57.3499,56.83,57.27,1000531
12-17-20,56.50,56.575,56.165,56.57,627134
12-16-20,56.62,56.68,56.01,56.30,783367
12-15-20,55.66,56.2181,55.52,56.18,686860
12-14-20,55.00,55.43,54.8001,54.90,507059
12-11-20,54.55,54.60,53.8001,54.04,504966
12-10-20,54.00,55.079,53.7995,55.01,660047
12-09-20,56.69,56.76,54.23,54.60,1136670
12-08-20,54.92,56.09,54.66,56.09,1101324
12-07-20,54.01,54.69,53.94,54.66,835378
12-04-20,52.88,53.73,52.835,53.71,542673
12-03-20,52.80,52.94,52.25,52.37,434378
12-02-20,52.25,52.45,51.85,52.39,425838
12-01-20,53.18,53.3485,52.7201,52.97,629152
11-30-20,53.58,53.6098,52.11,52.22,638977
11-27-20,53.22,53.42,53.10,53.23,465910
11-25-20,52.81,53.02,52.50,53.02,928712
11-24-20,54.41,54.49,53.54,54.40,1613458
11-23-20,52.27,52.80,52.06,52.64,1132118
11-20-20,50.42,51.13,50.41,51.09,624366
11-19-20,49.60,49.91,49.41,49.91,359917
