Date, Open, High, Low, Close, Volume
07/09/21, 188.07, 191.265, 183.595, 190.41, 328668
07/08/21, 181.65, 189.83, 179.38, 188.25, 538582
07/07/21, 194.22, 195.855, 185.01, 185.05, 552867
07/06/21, 190.48, 197.09, 189.54, 192.14, 493554
07/02/21, 191.59, 193.165, 189.29, 190.94, 313422
07/01/21, 195.82, 196.30, 189.09, 189.94, 604398
06/30/21, 199.82, 200.15, 195.56, 195.82, 724347
06/29/21, 201.46, 208.99, 200.41, 201.33, 942187
06/28/21, 192.87, 201.46, 192.79, 201.40, 1127809
06/25/21, 195.40, 197.71, 187.11, 189.73, 2450799
06/24/21, 199.05, 201.00, 193.85, 194.11, 901191
06/23/21, 197.21, 202.35, 196.88, 201.41, 784721
06/22/21, 197.77, 201.18, 196.36, 197.15, 554275
06/21/21, 194.40, 198.34, 191.88, 197.88, 691962
06/18/21, 198.75, 200.355, 192.76, 194.43, 1869609
06/17/21, 190.97, 203.64, 190.97, 198.77, 1571675
06/16/21, 186.75, 193.56, 186.75, 192.28, 767810
06/15/21, 191.89, 194.19, 187.70, 190.19, 824761
06/14/21, 192.99, 194.33, 188.01, 191.17, 785041
06/11/21, 192.93, 194.7799, 190.30, 193.51, 636777
06/10/21, 185.73, 192.81, 184.30, 191.16, 890344
06/09/21, 187.17, 189.86, 181.16, 186.25, 873753
06/08/21, 185.72, 188.46, 183.02, 187.05, 889220
06/07/21, 179.33, 187.955, 178.765, 185.28, 924902
06/04/21, 172.99, 182.17, 172.57, 180.18, 498521
06/03/21, 177.03, 178.50, 171.43, 173.00, 509023
06/02/21, 176.50, 180.48, 175.46, 178.93, 592433
06/01/21, 180.00, 180.67, 170.88, 176.25, 951663
05/28/21, 177.19, 184.00, 177.19, 180.00, 679043
05/27/21, 168.36, 179.46, 166.131, 176.06, 1927846
05/26/21, 165.99, 170.83, 165.36, 169.39, 724167
05/25/21, 167.67, 169.025, 164.30, 166.14, 758706
05/24/21, 160.92, 167.43, 159.14, 166.17, 609489
05/21/21, 159.54, 160.54, 153.52, 158.17, 824056
05/20/21, 152.55, 159.0659, 150.495, 158.66, 694458
05/19/21, 145.00, 151.65, 143.17, 151.02, 1185628
05/18/21, 145.33, 153.17, 142.96, 150.38, 1273134
05/17/21, 142.49, 145.28, 138.51, 143.83, 1254448
05/14/21, 136.56, 145.64, 136.3341, 143.79, 980860
05/13/21, 136.69, 140.91, 134.68, 136.61, 1772107
05/12/21, 135.38, 138.135, 133.12, 134.22, 1215813
05/11/21, 129.21, 140.43, 128.15, 137.25, 868469
05/10/21, 146.01, 146.97, 134.66, 134.84, 1145568
05/07/21, 147.18, 151.83, 145.76, 146.36, 1090529
05/06/21, 166.32, 169.5715, 141.4201, 144.45, 3487244
05/05/21, 188.03, 189.45, 181.25, 182.90, 710702
05/04/21, 188.88, 189.96, 179.02, 184.90, 622031
05/03/21, 198.09, 198.52, 188.53, 192.58, 549880
04/30/21, 195.95, 200.429, 193.01, 197.80, 589238
04/29/21, 198.73, 198.95, 193.30, 197.40, 796872
04/28/21, 197.05, 199.00, 190.51, 197.22, 434047
04/27/21, 201.00, 202.00, 196.63, 198.70, 354597
04/26/21, 195.33, 203.25, 194.00, 202.37, 814831
04/23/21, 191.63, 195.42, 188.02, 193.95, 566170
04/22/21, 187.81, 195.67, 187.81, 191.81, 562367
04/21/21, 179.88, 188.85, 176.9519, 187.55, 323808
04/20/21, 187.39, 189.97, 178.48, 180.74, 496590
04/19/21, 191.81, 195.7999, 183.33, 186.97, 375326
04/16/21, 196.13, 196.78, 189.03, 194.10, 327248
04/15/21, 196.73, 197.89, 192.00, 196.13, 565182
04/14/21, 196.61, 203.20, 190.33, 192.22, 634319
04/13/21, 187.98, 198.24, 186.45, 197.36, 655535
04/12/21, 192.52, 193.1129, 180.16, 188.31, 988433
04/09/21, 188.92, 194.96, 186.65, 194.64, 504470
04/08/21, 189.25, 192.885, 187.53, 190.24, 806522
04/07/21, 192.53, 193.9099, 182.31, 185.34, 1172904
04/06/21, 189.95, 199.49, 189.58, 197.24, 861891
04/05/21, 188.16, 191.16, 185.42, 190.71, 443682
04/01/21, 181.56, 186.17, 176.52, 185.79, 855415
03/31/21, 171.00, 183.185, 170.71, 181.00, 862267
03/30/21, 160.71, 169.78, 158.68, 168.22, 516266
03/29/21, 166.31, 168.90, 157.5995, 161.53, 565202
03/26/21, 166.77, 171.20, 160.641, 166.09, 492209
03/25/21, 165.53, 168.00, 157.55, 166.21, 792359
03/24/21, 173.13, 176.09, 168.19, 169.05, 592107
03/23/21, 178.37, 179.24, 172.60, 174.16, 343839
03/22/21, 176.55, 181.505, 174.81, 179.21, 757416
03/19/21, 170.13, 180.06, 166.15, 177.76, 1377735
03/18/21, 166.89, 173.40, 166.04, 168.51, 949973
03/17/21, 165.14, 174.95, 163.7169, 170.19, 811483
03/16/21, 170.20, 172.645, 165.19, 168.77, 766114
03/15/21, 163.38, 172.17, 161.00, 169.50, 966031
03/12/21, 158.78, 160.99, 153.815, 160.02, 540532
03/11/21, 157.28, 165.79, 156.80, 164.63, 583518
03/10/21, 155.00, 158.54, 150.91, 151.58, 739849
03/09/21, 146.37, 152.90, 145.35, 150.61, 999591
03/08/21, 151.4757, 155.00, 140.5557, 141.09, 1134466
03/05/21, 152.01, 157.0376, 140.845, 155.58, 1612320
03/04/21, 171.55, 173.665, 146.3801, 147.40, 1418478
03/03/21, 185.36, 187.3984, 171.19, 173.21, 663339
03/02/21, 188.26, 193.82, 185.57, 186.72, 904743
03/01/21, 179.38, 187.11, 178.01, 186.75, 897481
02/26/21, 175.52, 179.49, 169.6083, 177.99, 802687
02/25/21, 177.11, 180.00, 168.69, 173.10, 605501
02/24/21, 176.67, 184.95, 174.52, 179.43, 585942
02/23/21, 173.71, 179.55, 165.33, 176.09, 836383
02/22/21, 185.44, 189.97, 177.65, 178.70, 775222
02/19/21, 191.45, 195.00, 188.44, 190.73, 651289
02/18/21, 183.44, 188.82, 176.16, 186.37, 962189
02/17/21, 190.085, 191.43, 181.84, 187.55, 456108
02/16/21, 200.00, 201.70, 188.88, 192.43, 643652
02/12/21, 189.16, 198.00, 188.115, 196.86, 507157
02/11/21, 185.64, 190.28, 184.73, 190.12, 437538
02/10/21, 186.07, 192.45, 180.03, 185.28, 494212
02/09/21, 183.13, 187.63, 182.37, 182.78, 547715
02/08/21, 187.27, 187.5974, 180.07, 181.70, 677680
02/05/21, 183.92, 185.80, 179.53, 185.54, 414722
02/04/21, 182.26, 184.83, 179.90, 181.84, 278435
02/03/21, 185.06, 187.99, 178.30, 180.87, 485986
02/02/21, 180.00, 184.66, 179.04, 182.56, 765763
