Date, Open, High, Low, Close, Volume
08/11/21, 13.86, 13.95, 13.67, 13.93, 42406000
08/10/21, 13.77, 13.91, 13.66, 13.82, 32120830
08/09/21, 13.72, 13.82, 13.55, 13.75, 38760379
08/06/21, 13.82, 13.91, 13.73, 13.80, 44450641
08/05/21, 13.54, 13.82, 13.45, 13.71, 60524398
08/04/21, 13.85, 13.93, 13.30, 13.32, 81502703
08/03/21, 13.97, 14.08, 13.64, 14.02, 53257699
08/02/21, 14.02, 14.33, 13.88, 13.91, 64673719
07/30/21, 14.23, 14.30, 13.87, 13.95, 74955711
07/29/21, 14.51, 14.79, 14.30, 14.39, 111154797
07/28/21, 13.86, 13.99, 13.565, 13.86, 70653453
07/27/21, 13.93, 13.955, 13.65, 13.79, 41963238
07/26/21, 13.90, 14.0815, 13.87, 14.03, 43838039
07/23/21, 13.97, 14.04, 13.73, 13.82, 37927871
07/22/21, 14.08, 14.14, 13.78, 13.91, 40440121
07/21/21, 14.05, 14.34, 14.03, 14.19, 53817488
07/20/21, 13.37, 13.96, 13.28, 13.91, 70731773
07/19/21, 13.25, 13.32, 12.7901, 13.28, 99949234
07/16/21, 14.12, 14.14, 13.58, 13.61, 48065199
07/15/21, 14.15, 14.30, 13.94, 14.01, 44952312
07/14/21, 14.43, 14.63, 14.20, 14.25, 39056160
07/13/21, 14.50, 14.625, 14.295, 14.42, 45360602
07/12/21, 14.36, 14.74, 14.24, 14.61, 49205152
07/09/21, 14.445, 14.575, 14.27, 14.48, 65981219
07/08/21, 13.96, 14.23, 13.735, 14.06, 62706840
07/07/21, 14.41, 14.46, 14.02, 14.23, 72992469
07/06/21, 14.87, 14.88, 14.39, 14.50, 73990633
07/02/21, 14.96, 15.04, 14.83, 14.93, 43824910
07/01/21, 14.91, 14.97, 14.84, 14.91, 51112230
06/30/21, 14.95, 15.11, 14.81, 14.86, 72213531
06/29/21, 15.05, 15.20, 14.875, 15.01, 68208172
06/28/21, 15.20, 15.21, 14.83, 14.96, 79477430
06/25/21, 15.24, 15.52, 15.18, 15.19, 111760492
06/24/21, 15.54, 15.55, 15.15, 15.26, 79859797
06/23/21, 15.14, 15.53, 15.03, 15.42, 94985672
06/22/21, 15.02, 15.11, 14.815, 14.91, 65545914
06/21/21, 14.63, 14.90, 14.55, 14.78, 63384992
06/18/21, 14.54, 14.765, 14.44, 14.52, 76319719
06/17/21, 15.30, 15.40, 14.58, 14.77, 126653102
06/16/21, 15.10, 15.29, 14.88, 15.02, 69112883
06/15/21, 14.91, 15.16, 14.76, 15.00, 62612754
06/14/21, 15.23, 15.30, 14.815, 14.87, 82666039
06/11/21, 15.30, 15.43, 15.17, 15.28, 50613473
